"last_name, first_name",year,home_run,k_percent,barrel_batted_rate,hard_hit_percent,lack_of_run_support,p_unearned_run
"Cobb, Alex",2017,22,17.3,6.0,35.1,True,5
"Cobb, Alex",2018,24,15.4,7.8,40.6,False,10
"Cobb, Alex",2020,8,16.8,9.5,48.2,False,2
"Cobb, Alex",2022,9,23.9,3.7,41.1,True,10
"Cobb, Alex",2023,19,20.3,7.0,43.4,True,4
"Cole, Gerrit",2015,11,24.3,4.3,34.7,False,11
"Cole, Gerrit",2016,7,19.4,3.0,31.0,True,7
"Cole, Gerrit",2017,31,23.1,7.6,34.4,False,2
"Cole, Gerrit",2018,19,34.5,6.2,39.8,False,4
"Cole, Gerrit",2019,29,39.9,5.9,35.5,False,7
"Cole, Gerrit",2020,14,32.6,9.1,44.6,False,4
"Cole, Gerrit",2021,24,33.5,9.8,38.6,False,4
"Cole, Gerrit",2022,33,32.4,9.5,40.2,False,3
"Cole, Gerrit",2023,20,27.0,7.6,39.2,False,3
"Colon, Bartolo",2015,25,16.7,5.4,34.7,False,4
"Colon, Bartolo",2016,24,16.2,5.3,37.6,False,8
"Colon, Bartolo",2017,28,13.7,7.3,37.4,False,9
"Colon, Bartolo",2018,32,12.9,7.5,40.8,False,3
"Conley, Adam",2016,13,21.3,6.2,31.6,True,2
"Corbin, Patrick",2016,24,18.7,9.0,36.5,False,20
"Corbin, Patrick",2017,26,21.5,6.7,35.6,True,12
"Corbin, Patrick",2018,15,30.8,5.8,35.6,False,0
"Corbin, Patrick",2019,24,28.5,9.4,38.7,False,8
"Corbin, Patrick",2020,10,20.3,6.5,44.2,False,1
"Corbin, Patrick",2021,37,19.0,9.2,41.2,False,3
"Corbin, Patrick",2022,27,18.0,11.0,45.0,False,12
"Corbin, Patrick",2023,33,15.7,9.3,44.0,False,9
"Cortes Jr., Nestor",2022,16,26.5,5.3,34.7,False,1
"Cotton, Jharel",2017,28,18.6,6.0,30.9,False,11
"Covey, Dylan",2018,13,16.8,5.3,37.3,False,11
"Crawford, Kutter",2023,17,25.6,7.7,35.3,True,1
"Crowe, Wil",2021,25,21.2,9.4,37.1,False,4
"Cueto, Johnny",2015,21,20.3,4.9,31.8,True,6
"Cueto, Johnny",2016,15,22.5,4.4,33.2,False,3
"Cueto, Johnny",2017,22,21.0,7.3,33.6,False,3
"Cueto, Johnny",2020,9,20.2,5.7,33.9,False,3
"Cueto, Johnny",2022,15,15.7,7.3,35.9,True,7
"Danks, John",2015,24,16.1,5.1,30.4,False,11
"Darvish, Yu",2017,27,27.3,6.3,31.4,True,3
"Darvish, Yu",2019,33,31.3,7.4,37.5,True,3
"Darvish, Yu",2020,5,31.3,6.4,34.2,False,1
"Darvish, Yu",2021,28,29.2,8.8,34.9,False,3
"Darvish, Yu",2022,22,25.6,8.8,37.1,False,0
"Darvish, Yu",2023,18,24.6,6.8,38.2,False,2
"Davies, Zach",2016,20,19.8,5.2,28.6,False,7
"Davies, Zach",2017,20,15.2,4.0,31.1,False,7
"Davies, Zach",2019,20,15.2,7.2,33.3,False,10
"Davies, Zach",2020,9,22.8,10.3,36.6,False,5
"Davies, Zach",2021,25,17.1,9.1,43.3,False,4
"Davies, Zach",2022,21,17.9,8.0,34.5,False,5
"De La Rosa, Jorge",2015,17,21.1,4.6,31.3,False,4
"De La Rosa, Jorge",2016,23,17.6,6.4,38.6,False,11
"De La Rosa, Rubby",2015,32,18.5,6.1,32.8,False,5
"DeSclafani, Anthony",2015,17,19.2,4.9,34.3,True,10
"DeSclafani, Anthony",2016,16,20.7,6.3,36.1,False,6
"DeSclafani, Anthony",2019,29,24.0,7.1,38.7,True,5
"DeSclafani, Anthony",2021,19,22.5,8.1,38.8,False,2
"Despaigne, Odrisamer",2015,17,12.6,5.0,30.0,False,1
"Detmers, Reid",2022,13,22.6,8.0,38.6,True,2
"Detmers, Reid",2023,19,26.1,6.2,41.4,False,7
"Dickey, R.A.",2015,25,14.3,4.4,30.5,True,4
"Dickey, R.A.",2016,28,17.3,7.3,35.5,False,13
"Dickey, R.A.",2017,26,16.7,4.3,30.8,False,9
"Dobnak, Randy",2020,3,13.5,5.2,40.9,False,0
"Duffey, Tyler",2016,25,19.1,9.5,43.0,False,8
"Duffy, Danny",2015,15,17.3,4.5,32.5,False,2
"Duffy, Danny",2016,27,25.7,7.9,36.0,False,1
"Duffy, Danny",2017,13,21.3,5.5,31.1,True,5
"Duffy, Danny",2018,23,20.4,7.3,37.3,False,2
"Duffy, Danny",2019,21,20.7,7.5,37.8,False,6
"Duffy, Danny",2020,10,23.6,7.5,36.0,False,2
"Dunn, Justin",2020,10,19.2,11.0,44.9,False,1
"Dunning, Dane",2021,13,22.3,8.1,43.5,False,2
"Dunning, Dane",2022,20,20.4,8.9,38.0,False,4
"Dunning, Dane",2023,20,19.4,7.5,40.2,False,2
"Eflin, Zach",2018,16,22.4,5.7,33.2,False,7
"Eflin, Zach",2019,28,18.3,6.9,32.8,False,13
"Eflin, Zach",2020,8,28.6,7.5,32.7,False,2
"Eflin, Zach",2023,19,26.5,9.0,35.1,False,0
"Eickhoff, Jerad",2016,30,20.6,5.7,35.0,True,8
"Eickhoff, Jerad",2017,16,20.5,6.3,34.6,False,7
"Elder, Bryce",2023,19,17.5,6.0,41.0,False,5
"Eovaldi, Nathan",2015,10,18.0,5.0,34.8,False,0
"Eovaldi, Nathan",2016,23,18.5,8.5,40.3,False,0
"Eovaldi, Nathan",2020,8,26.1,8.8,39.7,False,0
"Eovaldi, Nathan",2021,15,25.5,6.3,36.4,True,5
"Eovaldi, Nathan",2023,15,22.9,7.9,43.1,False,1
"Estrada, Marco",2015,24,18.1,5.3,30.8,False,4
"Estrada, Marco",2016,23,22.8,7.4,31.5,True,5
"Estrada, Marco",2017,31,21.8,7.0,30.2,False,1
"Estrada, Marco",2018,29,16.4,9.3,33.3,False,1
"Fedde, Erick",2020,10,12.6,8.3,39.6,False,1
"Fedde, Erick",2021,23,21.7,9.3,40.6,False,9
"Fedde, Erick",2022,21,16.4,8.1,43.5,False,2
"Fernández, José",2016,13,34.3,3.8,36.2,False,5
"Fiers, Mike",2015,24,23.7,5.9,29.4,True,9
"Fiers, Mike",2016,26,18.5,6.1,39.2,False,5
"Fiers, Mike",2017,32,21.8,8.0,32.8,False,6
"Fiers, Mike",2018,32,19.5,10.4,37.4,False,3
"Fiers, Mike",2019,30,16.7,7.2,38.3,False,2
"Fiers, Mike",2020,9,14.4,7.5,33.5,False,1
"Finnegan, Brandon",2016,29,19.8,8.0,35.5,True,10
"Fister, Doug",2016,24,14.8,4.5,35.7,False,5
"Flaherty, Jack",2018,20,29.6,6.6,34.7,True,3
"Flaherty, Jack",2019,25,29.9,6.9,30.3,False,2
"Flaherty, Jack",2023,17,22.8,7.3,38.3,False,3
